fully_qualified_table_name,database_name,table_name,table_type,s3_location,has_partitions,partition_count,last_create_time,batch,stage
flight_db.flights_3_t,flight_db,flights_3_t,EXTERNAL_TABLE,s3a://flight-bucket/refined/flights_3_t,Y,132,1758885987,1,1
flight_db.flights_9_t,flight_db,flights_9_t,EXTERNAL_TABLE,s3a://flight-bucket/refined/flights_9_t,Y,132,1758885988,1,1
flight_db.flights_0_t,flight_db,flights_0_t,EXTERNAL_TABLE,s3a://flight-bucket/refined/flights_0_t,Y,132,1758885986,1,1
flight_db.flights_4_t,flight_db,flights_4_t,EXTERNAL_TABLE,s3a://flight-bucket/refined/flights_4_t,Y,132,1758885987,2,1
flight_db.flights_2_t,flight_db,flights_2_t,EXTERNAL_TABLE,s3a://flight-bucket/refined/flights_2_t,Y,132,1758885986,2,1
flight_db.flights_1_t,flight_db,flights_1_t,EXTERNAL_TABLE,s3a://flight-bucket/refined/flights_1_t,Y,132,1758885986,2,1
flight_db.flights_8_t,flight_db,flights_8_t,EXTERNAL_TABLE,s3a://flight-bucket/refined/flights_8_t,Y,132,1758885988,2,1
flight_db.flights_6_t,flight_db,flights_6_t,EXTERNAL_TABLE,s3a://flight-bucket/refined/flights_6_t,Y,132,1758885987,3,1
flight_db.flights_5_t,flight_db,flights_5_t,EXTERNAL_TABLE,s3a://flight-bucket/refined/flights_5_t,Y,132,1758885987,3,1
flight_db.flights_7_t,flight_db,flights_7_t,EXTERNAL_TABLE,s3a://flight-bucket/refined/flights_7_t,Y,132,1758885987,3,1
flight_db.flights_10_t,flight_db,flights_10_t,EXTERNAL_TABLE,s3a://flight-bucket/refined/flights_10_t,Y,0,None,3,1
